epoch agent_rss_kb agent_fds stage_files stage_kb dest_files
1787854047 13172 6 1 8396 41515
1787854077 13172 6 1 8396 41515
1787854107 13172 6 1 8396 41515
1787854137 13164 6 1 8396 41515
1787854167 13180 6 1 8396 41515
1787854198 13148 6 1 8396 41515
1787854228 13180 6 1 8396 41515
1787854258 13148 6 1 8396 41515
1787854288 13172 6 1 8396 41515
1787854318 13156 6 1 8396 41515
1787854348 13140 6 1 8396 41515
1787854378 13140 6 1 8396 41515
1787854408 13156 6 1 8396 41515
1787854438 13176 6 1 8396 41515
1787854468 13108 6 1 8396 41515
1787854498 13180 6 1 8396 41515
1787854528 13156 6 1 8396 41515
1787854558 13140 6 1 8396 41515
1787854588 13140 6 1 8396 41515
1787854619 13148 6 1 8396 41515
1787854649 13148 6 1 8396 41515
1787854679 13480 6 1 12492 41515
1787854709 13120 6 1 8396 41515
1787854739 13120 6 1 8396 41515
1787854769 13120 6 1 8396 41515
1787854799 13120 6 1 8396 41515
1787854829 13092 6 1 8396 41515
1787854859 13108 6 1 8396 41515
1787854889 13380 6 1 8396 41515
1787854919 13116 6 1 8396 41515
1787854949 13148 6 1 8396 41515
1787854979 13160 6 1 8396 41515
1787855009 13920 6 2 8396 41515
1787855040 13160 6 1 8396 41515
1787855070 13168 6 1 8396 41515
1787855100 13136 6 1 8396 41515
1787855130 13136 6 1 8396 41515
1787855160 13152 6 1 8396 41515
1787855190 13136 6 1 8396 41515
1787855220 13168 6 1 8396 41515
1787855250 13092 6 1 8396 41515
1787855280 13108 6 1 8396 41515
1787855310 13136 6 1 8396 41515
1787855340 13168 6 1 8396 41515
1787855370 13168 6 1 8396 41515
1787855400 13168 6 1 8396 41515
1787855430 13168 6 1 8396 41515
1787855461 13168 6 1 8396 41515
1787855491 13168 6 1 8396 41515
1787855521 13120 6 1 8396 41515
1787855551 13084 6 1 8396 41515
1787855581 13136 6 1 8396 41515
1787855611 13164 6 1 8396 41515
1787855641 13168 6 1 8396 41515
1787855671 13136 7 4 8396 41515
1787855701 13140 6 1 8396 41515
1787855731 13108 6 1 8396 41515
1787855761 13152 6 1 8396 41515
1787855791 13080 6 1 8396 41515
1787855821 13116 6 1 8396 41515
1787855851 13124 6 1 8396 41515
1787855882 13124 6 1 8396 41515
1787855912 13108 6 1 8396 41515
1787855942 13144 6 1 8396 41515
1787855972 13152 6 1 8396 41515
1787856002 13112 6 1 8396 41515
1787856032 13080 6 1 8396 41515
1787856062 13112 6 1 8396 41515
1787856092 13128 6 1 8396 41515
1787856122 13128 6 1 8396 41515
1787856152 13128 6 1 8396 41515
1787856182 13128 6 1 8396 41515
