epoch rss_kb fds watches staging_files staging_kb
1787850426 26316 11 4175 0 0
1787850456 27728 12 4175 0 0
1787850486 24068 11 4175 0 0
1787850516 24252 11 4175 0 0
1787850546 24116 11 4175 0 0
1787850576 24116 11 4175 0 0
1787850606 24116 11 4175 0 0
1787850636 24260 11 4175 0 0
1787850667 24356 11 4175 0 0
1787850697 24236 11 4175 0 0
1787850727 24244 11 4175 0 0
1787850757 24240 11 4175 0 0
1787850787 24376 11 4175 0 0
1787850817 24308 11 4175 0 0
1787850847 24252 11 4175 0 0
1787850877 24368 11 4175 0 0
1787850907 24428 11 4175 0 0
1787850937 24268 11 4175 0 0
1787850967 24464 11 4175 0 0
1787850997 24552 11 4175 0 0
1787851027 24596 11 4175 0 0
1787851057 24540 11 4175 0 0
1787851087 24600 11 4175 0 0
1787851117 24764 11 4175 0 0
1787851147 24672 11 4175 0 0
1787851177 24644 11 4175 0 0
1787851207 24788 11 4175 0 0
1787851237 24672 11 4175 0 0
1787851267 24672 11 4175 0 0
1787851297 24672 11 4175 0 0
1787851327 24800 11 4175 0 0
1787851357 24868 11 4175 0 0
1787851387 24764 11 4175 0 0
1787851417 24820 11 4175 0 0
1787851447 24888 11 4175 0 0
1787851477 24924 11 4175 0 0
1787851507 24960 11 4175 0 0
1787851537 24944 11 4175 0 0
1787851567 25524 11 4175 0 0
1787851597 25024 11 4175 0 0
1787851627 24980 11 4175 0 0
1787851657 25000 11 4175 0 0
1787851687 24940 11 4175 0 0
1787851717 25000 11 4175 0 0
1787851747 24924 11 4175 0 0
1787851777 26512 11 4175 0 0
1787851807 25048 11 4175 0 0
1787851837 25084 11 4175 0 0
1787851867 24976 11 4175 0 0
1787851897 25164 11 4175 0 0
1787851927 25176 11 4175 0 0
1787851957 25176 11 4175 0 0
1787851987 25176 11 4175 0 0
1787852018 25176 11 4175 0 0
1787852048 25184 11 4175 0 0
1787852078 25024 11 4175 0 0
1787852108 25224 11 4175 0 0
1787852138 25120 11 4175 0 0
1787852168 25184 11 4175 0 0
1787852198 25024 11 4175 0 0
1787852228 25088 11 4175 0 0
1787852258 25216 11 4175 0 0
1787852288 26628 11 4175 0 0
1787852318 25332 11 4175 0 0
1787852348 25148 11 4175 0 0
1787852378 25184 11 4175 0 0
1787852408 25128 11 4175 0 0
1787852438 25140 11 4175 0 0
1787852468 25348 11 4175 0 0
1787852498 29588 11 4175 0 0
1787852528 25220 11 4175 0 0
1787852558 25384 11 4175 0 0
1787852588 25368 11 4175 0 0
1787852618 25208 11 4175 0 0
1787852648 25236 11 4175 0 0
1787852678 25236 11 4175 0 0
1787852708 25236 11 4175 0 0
1787852738 25240 11 4175 0 0
1787852768 29544 11 4175 0 0
1787852798 25132 11 4175 0 0
1787852828 25420 11 4175 0 0
1787852858 25296 11 4175 0 0
1787852888 29268 12 4175 0 0
1787852918 25444 11 4175 0 0
1787852948 25236 11 4175 0 0
1787852978 25280 11 4175 0 0
1787853008 25324 11 4175 0 0
1787853038 25436 11 4175 0 0
1787853068 25412 11 4175 0 0
1787853098 25416 11 4175 0 0
1787853128 25260 11 4175 0 0
1787853158 28740 12 4175 0 0
1787853188 25200 11 4175 0 0
1787853218 25368 11 4175 0 0
1787853248 25300 11 4175 0 0
1787853278 25260 11 4175 0 0
1787853308 25276 11 4175 0 0
1787853339 25276 11 4175 0 0
1787853369 25276 11 4175 0 0
